Gene,Mean_Control,Mean_Disease,FoldChange,log2FoldChange,p_value,adj_p_value
Gene_100128191,1.618952482,1.822762389,1.125889987,0.171065866,0.004310291,0.322761653
Gene_28231,2.285471914,2.953925146,1.292479303,0.370141178,0.004309515,0.322761653
Gene_51657,2.598564701,2.71049796,1.043075032,0.06084294,0.004270751,0.322761653
Gene_10425,3.243023318,3.132073983,0.965788302,-0.050221106,0.004410985,0.32630618
Gene_10939,3.526666381,3.396318479,0.963039344,-0.054333355,0.004395528,0.32630618
Gene_763,1.024440732,1.481930359,1.446575008,0.532641132,0.004409416,0.32630618
Gene_25816,1.357319352,1.738596336,1.280904405,0.35716281,0.004483509,0.327068135
Gene_23589,1.852255647,2.079934246,1.122919641,0.167254689,0.004492596,0.327068135
Gene_107984338,0.947510636,1.215142216,1.2824576,0.358911129,0.004457345,0.327068135
Gene_715,2.320363165,2.6277202,1.132460745,0.179461043,0.004464808,0.327068135
Gene_2355,2.270094954,2.91175996,1.282659985,0.359138783,0.004592651,0.329128026
Gene_728911,1.470370857,0.765436252,0.520573601,-0.941825942,0.004553189,0.329128026
Gene_3561,1.242611536,1.66246834,1.337882589,0.419951513,0.004584969,0.329128026
Gene_197259,1.902260703,2.259809052,1.187959699,0.248485894,0.00456637,0.329128026
Gene_5033,3.117272214,3.399626232,1.090577274,0.125091997,0.004625509,0.329479822
Gene_9378,3.7266281,3.536614654,0.949011964,-0.075501819,0.004633478,0.329479822
Gene_6518,2.168946426,2.436814587,1.123501511,0.168002065,0.004675174,0.329983438
Gene_3569,0.810895559,1.578143396,1.946173434,0.960640282,0.004676534,0.329983438
Gene_9498,3.608095205,3.347832142,0.927866908,-0.108010213,0.004705512,0.330756045
Gene_89122,2.446738079,2.510413364,1.026024561,0.037065267,0.004782593,0.334891037
Gene_8975,2.786759083,2.671024787,0.958469932,-0.061194921,0.004841951,0.33775828
Gene_121504,1.735664939,1.929257327,1.11153788,0.152557115,0.004862493,0.337906396
Gene_12,3.302994653,3.949707438,1.195795892,0.25797116,0.004909809,0.339677814
Gene_6352,0.827073735,1.204121965,1.455882245,0.541893671,0.004925014,0.339677814
Gene_871,2.366924609,3.016151501,1.274291327,0.349695143,0.005022081,0.341176565
Gene_4689,1.864381321,2.188557683,1.173878787,0.231283445,0.005039728,0.341176565
Gene_79651,2.174752706,2.456896284,1.129735936,0.175985597,0.00499792,0.341176565
Gene_100874218,1.301051576,1.081589063,0.831319129,-0.266525686,0.004999721,0.341176565
Gene_415116,1.875018311,2.217947981,1.182894038,0.242320845,0.005004406,0.341176565
Gene_81788,1.303787703,1.589803695,1.219373132,0.286139663,0.005072542,0.341339463
Gene_6556,2.059104732,2.633758929,1.279079635,0.355106089,0.005079346,0.341339463
Gene_9180,2.916977934,3.284552306,1.126012051,0.171222268,0.005185819,0.343462192
Gene_128346,2.2037667,2.44304745,1.108578077,0.148710383,0.005173837,0.343462192
Gene_25875,2.830927836,2.737411623,0.966966232,-0.048462585,0.005162222,0.343462192
Gene_8925,4.148435064,4.019461485,0.968910305,-0.045564977,0.005135814,0.343462192
Gene_3082,1.861707656,2.18010319,1.171023379,0.227769879,0.00524937,0.344296873
Gene_51268,2.50811139,2.336037386,0.931392998,-0.102538059,0.005254722,0.344296873
Gene_4783,1.966913081,2.365284924,1.202536577,0.266080777,0.005248882,0.344296873
Gene_128414,2.092092306,1.812310288,0.866266887,-0.207116524,0.005278531,0.344626054
Gene_353322,2.11254639,2.543080399,1.203798606,0.267594051,0.005709357,0.346322739
Gene_8744,0.673254036,1.154587406,1.714935737,0.778154516,0.005922359,0.346322739
Gene_102724428,1.676405169,2.166489034,1.292342134,0.369988059,0.00588932,0.346322739
Gene_55758,3.295258586,3.178390467,0.964534462,-0.052095309,0.005588217,0.346322739
Gene_84124,2.539103753,2.688030129,1.058653127,0.082229961,0.005472027,0.346322739
Gene_440359,0.746533174,1.348651625,1.80655284,0.853239453,0.005587998,0.346322739
Gene_3055,1.979013564,2.260008017,1.141987128,0.19154639,0.005380004,0.346322739
Gene_4069,1.949097352,2.342705813,1.201943972,0.265369647,0.005646721,0.346322739
Gene_2532,1.692686776,2.33604201,1.380079317,0.464751185,0.005744317,0.346322739
Gene_105377700,1.157649341,1.310270201,1.131836866,0.178666034,0.006054107,0.346322739
Gene_10205,1.356768702,2.0847941,1.536587701,0.619730112,0.005556336,0.346322739
Gene_23210,2.376005105,2.712951122,1.141811992,0.19132512,0.005561483,0.346322739
Gene_333932,1.354917127,1.767104445,1.304215889,0.383182701,0.005765932,0.346322739
Gene_125,1.833469402,2.218204598,1.209839987,0.27481625,0.005574108,0.346322739
Gene_84153,2.638938787,2.752012946,1.042848345,0.060529371,0.005571997,0.346322739
Gene_5970,2.435088446,2.703413645,1.110191151,0.150808099,0.00602002,0.346322739
Gene_79961,1.596178673,1.935788866,1.212764522,0.278299455,0.005853102,0.346322739
Gene_2683,2.176549699,2.440263537,1.121161413,0.164993997,0.005816928,0.346322739
Gene_425054,1.703031329,1.024825368,0.601765423,-0.732726882,0.005645045,0.346322739
Gene_10581,2.416576516,2.966693823,1.22764324,0.295891366,0.005476332,0.346322739
Gene_22977,2.29174523,2.135382647,0.931771394,-0.101952055,0.00602798,0.346322739
Gene_57109,2.522032135,2.677412982,1.061609384,0.086253029,0.005606702,0.346322739
Gene_388341,1.437123002,1.60957084,1.119995183,0.163492528,0.00599835,0.346322739
Gene_81025,1.898239895,2.066923616,1.088863226,0.122822746,0.005732032,0.346322739
Gene_6515,3.432665913,3.689937148,1.074947939,0.10426679,0.006068467,0.346322739
Gene_3704,2.725155711,2.625218174,0.96332777,-0.053901339,0.005805194,0.346322739
Gene_11151,2.589605262,2.772555304,1.070647849,0.098484036,0.006097364,0.346322739
Gene_3726,2.1944526,2.610166902,1.189438724,0.250280951,0.005748744,0.346322739
Gene_84807,1.694304433,1.989367753,1.17415012,0.231616875,0.006036054,0.346322739
Gene_1192,2.201893043,2.59234289,1.17732462,0.235512165,0.006047879,0.346322739
Gene_2995,2.118168796,2.329630565,1.09983235,0.137283627,0.005725878,0.346322739
