GeneId,GSM2843848,GSM2843849,GSM2843850,GSM2843851,GSM2843852,GSM2843853,GSM2843854,GSM2843855,GSM2843856,GSM2843857,GSM2843858,GSM2843859,GSM2843860,GSM2843861,GSM2843862,GSM2843863
Gene_10447,3.121834407,2.984719519,3.017522764,3.05550651,3.000420875,2.883069651,3.025756039,2.988031006,2.808531355,2.969097777,3.029680307,2.876089059,3.053229888,2.796695275,2.869946835,3.042463601
Gene_5803,4.225811875,3.982269334,4.284012893,4.330983176,4.28135891,4.305784841,3.98108846,3.750309356,4.05520377,4.147220831,3.787327847,4.090458874,4.42256612,4.137621025,4.204089353,4.036813842
Gene_10157,3.515889897,3.723010532,3.845752374,3.849802075,3.729850706,3.824447544,3.570171617,3.54934708,3.628922343,3.664762743,3.509967473,3.659361275,3.790242935,3.601624483,3.489519514,3.28799246
Gene_389549,0.879742363,0.742832929,1.201319699,1.350373291,1.541297712,1.218505715,1.507243473,1.428604721,1.172933808,1.348029503,1.412135171,1.86422976,0.942800045,1.252770631,1.466288422,0.866776069
Gene_93664,3.079339636,3.013632271,3.182739768,3.065984488,3.354139457,3.118092776,2.748264989,2.642481376,2.771868096,2.849536042,2.851472992,2.918962885,2.932096559,3.258436319,2.832037831,2.928592865
Gene_378925,0.773490799,1.002716492,1.093139658,1.13625467,0.984110486,1.41266521,0.781906213,0,1.057609275,0.96088505,0.70127349,1.268358714,1.18815529,1.30121843,1.112489569,0
Gene_154865,2.09481669,1.861813511,1.996275339,2.176242957,2.042132586,1.920936799,1.599148944,1.64392972,1.573623072,2.02346302,1.896787447,1.661354642,2.275294619,1.695286697,2.263894475,2.018977003
Gene_4698,2.985337717,3.00561227,3.133025971,3.335067098,3.159568399,2.832539837,2.974999124,2.896958613,2.642046091,3.075273939,2.953076769,2.750215343,3.656279317,2.410974813,2.670610057,2.774248102
Gene_8976,2.936911965,2.749840624,2.816638271,2.872891339,2.732287688,2.785417772,2.934426372,2.95302577,2.844501956,2.802477841,2.90287663,2.880571991,2.992483115,2.725201612,2.751313816,3.068956818
Gene_730130,2.033205551,2.006232488,1.90236926,2.020613927,1.925648964,1.981306932,2.11054451,2.148933069,1.976655078,2.094585743,2.048174594,2.05730115,1.800220452,2.18188187,1.783780551,1.940146467
Gene_2861,2.758587258,3.15827528,3.058977213,3.246562151,3.070749345,2.979335479,3.299186427,3.248835142,3.252734167,3.110605522,3.015290041,3.036305099,3.273985861,2.795962223,2.662471629,2.701830207
Gene_25913,2.625520004,2.722757038,2.750961027,2.841318862,2.755659914,2.500289961,2.551853788,2.516095592,2.569206427,2.731916726,2.592074739,2.487366112,3.033166557,2.343715452,2.729870018,2.484358492
Gene_2918,2.458313779,2.427479237,2.160510047,2.081770673,2.245935448,2.231402386,1.934719132,1.960953565,2.358830529,2.02346302,1.948969604,2.300828359,2.410401053,2.396493787,2.328292175,2.176468849
Gene_101928357,1.316888963,1.281612597,1.122813778,0.910383578,1.018128743,1.175656137,0.781906213,0.872578915,1.372422762,0.896890008,0.847565594,1.387404828,1.246532238,1.454188834,1.032724966,1.249509651
Gene_168850,2.974107424,3.042527795,3.111488304,3.111171877,2.974800111,3.088850398,2.819740813,2.809996587,3.005751532,3.024395602,2.976771605,2.993782413,3.446136456,3.206934177,2.918122781,2.961627836
Gene_79571,2.244039096,2.159848225,2.116252231,2.067269769,2.128847384,2.287089109,2.209046248,2.337095694,2.233424928,2.214245659,2.396733432,2.246760264,2.057518892,2.335320875,2.253486728,2.438393389
